Name	Title	Image	Location	LocationLink	Filelocation	Show
CBHC 2026	iMicroSeq: Integrated Resources Supporting Clinical and Environmental Sequence Data	presentations/CBHC2026.pdf.jpg	Canadian Bioinformatics Hub Conference 2026	https://www.iscb.org/cbhc2026/home	presentations/CBHC2026.pdf	TRUE
WCOH 2024	Antimicrobial Resistance As Ecological Public Goods: Mobility and Risk Assessment Via Genomic Analysis of >66000 Replicons	presentations/wcoh.pdf.jpg	2024 Western Canada One Health Antimicrobial Stewardship Conference 	https://www.bccdc.ca/health-professionals/education-development/antimicrobial-stewardship-conference	presentations/wcoh.pdf	TRUE
CSMB 2023	Genomic identification and laboratory characterization of a putative transcriptional repressor important for virulence in Pseudomonas aeruginosa UCBPP-PA14.	presentations/CSMB.pdf.jpg	66th Annual Canadian Society for Molecular Biosciences (CSMB) Meeting	https://csmb-scbm.ca/meetings/2023-annual-conference/	presentations/CSMB.pdf	TRUE
TraineeSeminar 2022	The Language of DNA: Can Machines Understand DNA Like English?	presentations/MBBTraineeSeminar.pdf.jpg	MBB Trainee Seminar Invited Talk	presentations#MBBTraineeSeminar	presentations/MBBTraineeSeminar.pdf	TRUE
IMPACTT 2022	Metagenome Assembled Genome Binning Methods With Short Reads Disproportionately Fail For Plasmids and Genomic Islands	presentations/IMPACTT.pdf.jpg	IMPACTT Symposium 2022	https://www.impactt-microbiome.ca/having-impactt-microbiome-symposium-2022/	presentations/IMPACTT.pdf	TRUE
BIG 2022	Metagenome Assembled Genome Binning Methods With Short Reads Disproportionately Fail For Plasmids and Genomic Islands	presentations/BIG22.pdf.jpg	BIG Research Day 2022	https://www.bigresearchday.com/about	presentations/BIG22.pdf	TRUE
ODSI 2020	The Endangered St. Lawrence Estuary (SLE) Beluga Skin Microbiome and Its Potential Relationship with Contaminant Exposure	presentations/ODSI2020.jpg	SFU Omics research day	https://sites.google.com/site/sfuomics/omics-research-day/researchday2020	presentations/ODSI2020.pdf	TRUE
SETAC-PNW 2019	Unveiling the Endangered St. Lawrence Estuary Beluga Skin Microbiome and Its Potential Utility in Halogenated Flame Retardant Exposure Monitoring	presentations/SETAC.pdf.jpg	SETAC North America 40th Annual Meeting 2019	https://www.setac.org/	presentations/SETAC.pdf	TRUE
SETAC 2019	Unveiling the Endangered St. Lawrence Estuary Beluga Skin Microbiome and Its Potential Utility in Halogenated Flame Retardant Exposure Monitoring	presentations/SETAC.pdf.jpg	SETAC North America 40th Annual Meeting 2019	https://www.setac.org/	presentations/SETAC.pdf	TRUE
SFUOMICS 2019	Revealing Potential Antimicrobial Resistance Gene Mobility Trends Using >15000 replicons	presentations/SFUOMICS2019.pdf.jpg	SFU Omics research day	https://sites.google.com/site/sfuomics/omics-research-day/research2020	presentations/SFUOMICS2019.pdf	TRUE
LAMG 2018	Revealing Potential Antimicrobial Resistance Gene Mobility Trends Using >15000 replicons	presentations/LAMG.pdf.jpg	Lake Arrowhead Microbial Genomics 2018	https://www.lamg.info/	presentations/LAMG.pdf	TRUE
BCCDC 2018	Tracking The Spread of Carbapenemases Producing Organisms Using Genomic Information: From Raw Reads to Phylogenetic Trees	presentations/CDCResearchDay.pdf.jpg	CDC Research Day 2018		presentations/CDCResearchDay.pdf	TRUE
CSM 2018	Revealing Potential Antimicrobial Resistance Gene Mobility Trends Using >15000 replicons	presentations/CSM.pdf.jpg	67th Annual Conference of the Canadian Society of Microbiologists 2018	https://www.csm-scm.org/index.asp	presentations/CSM.pdf	TRUE
